block,model,config_id,config_global_id,rmse,n_oos,train_end,oos_start,oos_end
block1,elastic_net,148,147,0.9562568125253744,20,180,181,200
block1,elastic_net,149,148,0.9563217330800229,20,180,181,200
block1,elastic_net,150,149,0.9570487925332376,20,180,181,200
block1,elastic_net,151,150,0.9685791083701035,20,180,181,200
block1,elastic_net,152,151,1.0653342505969647,20,180,181,200
block1,elastic_net,153,152,1.0967703222748997,20,180,181,200
block1,elastic_net,154,153,1.0967703222748997,20,180,181,200
block1,elastic_net,155,154,0.9562702033675655,20,180,181,200
block1,elastic_net,156,155,0.9564692122842235,20,180,181,200
block1,elastic_net,157,156,0.9592939591816373,20,180,181,200
block1,elastic_net,158,157,0.9778668293938408,20,180,181,200
block1,elastic_net,159,158,1.0967703222748997,20,180,181,200
block1,elastic_net,160,159,1.0967703222748997,20,180,181,200
block1,elastic_net,161,160,1.0967703222748997,20,180,181,200
block1,elastic_net,162,161,0.9562823943144291,20,180,181,200
block1,elastic_net,163,162,0.9566268615711939,20,180,181,200
block1,elastic_net,164,163,0.9626771842274554,20,180,181,200
block1,elastic_net,165,164,0.9847384353203481,20,180,181,200
block1,elastic_net,166,165,1.0967703222748997,20,180,181,200
block1,elastic_net,167,166,1.0967703222748997,20,180,181,200
block1,elastic_net,168,167,1.0967703222748997,20,180,181,200
